x|P, N =  0|P, N =  1|P, N =  2|P, N =  3|P, N =  4
  0.230000000000E+00|  0.100000000000E+01| -0.540000000000E+00| -0.626000000000E-01|  0.416340000000E+00| -0.346491300000E+00
  0.240000000000E+00|  0.100000000000E+01| -0.520000000000E+00| -0.944000000000E-01|  0.428480000000E+00| -0.319116800000E+00
  0.250000000000E+00|  0.100000000000E+01| -0.500000000000E+00| -0.125000000000E+00|  0.437500000000E+00| -0.289062500000E+00
  0.260000000000E+00|  0.100000000000E+01| -0.480000000000E+00| -0.154400000000E+00|  0.443520000000E+00| -0.256756800000E+00
  0.270000000000E+00|  0.100000000000E+01| -0.460000000000E+00| -0.182600000000E+00|  0.446660000000E+00| -0.222611300000E+00
  0.280000000000E+00|  0.100000000000E+01| -0.440000000000E+00| -0.209600000000E+00|  0.447040000000E+00| -0.187020800000E+00
  0.290000000000E+00|  0.100000000000E+01| -0.420000000000E+00| -0.235400000000E+00|  0.444780000000E+00| -0.150363300000E+00
  0.300000000000E+00|  0.100000000000E+01| -0.400000000000E+00| -0.260000000000E+00|  0.440000000000E+00| -0.113000000000E+00
  0.310000000000E+00|  0.100000000000E+01| -0.380000000000E+00| -0.283400000000E+00|  0.432820000000E+00| -0.752753000000E-01
  0.320000000000E+00|  0.100000000000E+01| -0.360000000000E+00| -0.305600000000E+00|  0.423360000000E+00| -0.375168000000E-01
  0.330000000000E+00|  0.100000000000E+01| -0.340000000000E+00| -0.326600000000E+00|  0.411740000000E+00| -0.353000000000E-04
  0.340000000000E+00|  0.100000000000E+01| -0.320000000000E+00| -0.346400000000E+00|  0.398080000000E+00|  0.368752000000E-01
  0.350000000000E+00|  0.100000000000E+01| -0.300000000000E+00| -0.365000000000E+00|  0.382500000000E+00|  0.729375000000E-01
  0.360000000000E+00|  0.100000000000E+01| -0.280000000000E+00| -0.382400000000E+00|  0.365120000000E+00|  0.107891200000E+00
  0.370000000000E+00|  0.100000000000E+01| -0.260000000000E+00| -0.398600000000E+00|  0.346060000000E+00|  0.141492700000E+00
  0.380000000000E+00|  0.100000000000E+01| -0.240000000000E+00| -0.413600000000E+00|  0.325440000000E+00|  0.173515200000E+00
  0.390000000000E+00|  0.100000000000E+01| -0.220000000000E+00| -0.427400000000E+00|  0.303380000000E+00|  0.203748700000E+00
  0.400000000000E+00|  0.100000000000E+01| -0.200000000000E+00| -0.440000000000E+00|  0.280000000000E+00|  0.232000000000E+00
  0.410000000000E+00|  0.100000000000E+01| -0.180000000000E+00| -0.451400000000E+00|  0.255420000000E+00|  0.258092700000E+00
  0.420000000000E+00|  0.100000000000E+01| -0.160000000000E+00| -0.461600000000E+00|  0.229760000000E+00|  0.281867200000E+00
  0.430000000000E+00|  0.100000000000E+01| -0.140000000000E+00| -0.470600000000E+00|  0.203140000000E+00|  0.303180700000E+00
  0.440000000000E+00|  0.100000000000E+01| -0.120000000000E+00| -0.478400000000E+00|  0.175680000000E+00|  0.321907200000E+00
  0.450000000000E+00|  0.100000000000E+01| -0.100000000000E+00| -0.485000000000E+00|  0.147500000000E+00|  0.337937500000E+00
  0.460000000000E+00|  0.100000000000E+01| -0.800000000000E-01| -0.490400000000E+00|  0.118720000000E+00|  0.351179200000E+00
  0.470000000000E+00|  0.100000000000E+01| -0.600000000000E-01| -0.494600000000E+00|  0.894600000000E-01|  0.361556700000E+00
  0.480000000000E+00|  0.100000000000E+01| -0.400000000000E-01| -0.497600000000E+00|  0.598400000000E-01|  0.369011200000E+00
  0.490000000000E+00|  0.100000000000E+01| -0.200000000000E-01| -0.499400000000E+00|  0.299800000000E-01|  0.373500700000E+00
  0.500000000000E+00|  0.100000000000E+01|  0.000000000000E+00| -0.500000000000E+00| -0.000000000000E+00|  0.375000000000E+00
  0.510000000000E+00|  0.100000000000E+01|  0.200000000000E-01| -0.499400000000E+00| -0.299800000000E-01|  0.373500700000E+00
  0.520000000000E+00|  0.100000000000E+01|  0.400000000000E-01| -0.497600000000E+00| -0.598400000000E-01|  0.369011200000E+00
  0.530000000000E+00|  0.100000000000E+01|  0.600000000000E-01| -0.494600000000E+00| -0.894600000000E-01|  0.361556700000E+00
  0.540000000000E+00|  0.100000000000E+01|  0.800000000000E-01| -0.490400000000E+00| -0.118720000000E+00|  0.351179200000E+00
  0.550000000000E+00|  0.100000000000E+01|  0.100000000000E+00| -0.485000000000E+00| -0.147500000000E+00|  0.337937500000E+00
  0.560000000000E+00|  0.100000000000E+01|  0.120000000000E+00| -0.478400000000E+00| -0.175680000000E+00|  0.321907200000E+00
  0.570000000000E+00|  0.100000000000E+01|  0.140000000000E+00| -0.470600000000E+00| -0.203140000000E+00|  0.303180700000E+00
  0.580000000000E+00|  0.100000000000E+01|  0.160000000000E+00| -0.461600000000E+00| -0.229760000000E+00|  0.281867200000E+00
  0.590000000000E+00|  0.100000000000E+01|  0.180000000000E+00| -0.451400000000E+00| -0.255420000000E+00|  0.258092700000E+00
  0.600000000000E+00|  0.100000000000E+01|  0.200000000000E+00| -0.440000000000E+00| -0.280000000000E+00|  0.232000000000E+00
  0.610000000000E+00|  0.100000000000E+01|  0.220000000000E+00| -0.427400000000E+00| -0.303380000000E+00|  0.203748700000E+00
  0.620000000000E+00|  0.100000000000E+01|  0.240000000000E+00| -0.413600000000E+00| -0.325440000000E+00|  0.173515200000E+00
  0.630000000000E+00|  0.100000000000E+01|  0.260000000000E+00| -0.398600000000E+00| -0.346060000000E+00|  0.141492700000E+00
  0.640000000000E+00|  0.100000000000E+01|  0.280000000000E+00| -0.382400000000E+00| -0.365120000000E+00|  0.107891200000E+00
  0.650000000000E+00|  0.100000000000E+01|  0.300000000000E+00| -0.365000000000E+00| -0.382500000000E+00|  0.729375000000E-01
  0.660000000000E+00|  0.100000000000E+01|  0.320000000000E+00| -0.346400000000E+00| -0.398080000000E+00|  0.368752000000E-01
  0.670000000000E+00|  0.100000000000E+01|  0.340000000000E+00| -0.326600000000E+00| -0.411740000000E+00| -0.353000000002E-04
  0.680000000000E+00|  0.100000000000E+01|  0.360000000000E+00| -0.305600000000E+00| -0.423360000000E+00| -0.375168000000E-01
  0.690000000000E+00|  0.100000000000E+01|  0.380000000000E+00| -0.283400000000E+00| -0.432820000000E+00| -0.752753000000E-01
  0.700000000000E+00|  0.100000000000E+01|  0.400000000000E+00| -0.260000000000E+00| -0.440000000000E+00| -0.113000000000E+00
  0.710000000000E+00|  0.100000000000E+01|  0.420000000000E+00| -0.235400000000E+00| -0.444780000000E+00| -0.150363300000E+00
  0.720000000000E+00|  0.100000000000E+01|  0.440000000000E+00| -0.209600000000E+00| -0.447040000000E+00| -0.187020800000E+00
  0.730000000000E+00|  0.100000000000E+01|  0.460000000000E+00| -0.182600000000E+00| -0.446660000000E+00| -0.222611300000E+00
  0.740000000000E+00|  0.100000000000E+01|  0.480000000000E+00| -0.154400000000E+00| -0.443520000000E+00| -0.256756800000E+00
  0.750000000000E+00|  0.100000000000E+01|  0.500000000000E+00| -0.125000000000E+00| -0.437500000000E+00| -0.289062500000E+00
  0.760000000000E+00|  0.100000000000E+01|  0.520000000000E+00| -0.944000000000E-01| -0.428480000000E+00| -0.319116800000E+00
  0.770000000000E+00|  0.100000000000E+01|  0.540000000000E+00| -0.626000000000E-01| -0.416340000000E+00| -0.346491300000E+00
  0.780000000000E+00|  0.100000000000E+01|  0.560000000000E+00| -0.296000000000E-01| -0.400960000000E+00| -0.370740800000E+00
  0.790000000000E+00|  0.100000000000E+01|  0.580000000000E+00|  0.460000000000E-02| -0.382220000000E+00| -0.391403300000E+00
  0.800000000000E+00|  0.100000000000E+01|  0.600000000000E+00|  0.400000000000E-01| -0.360000000000E+00| -0.408000000000E+00
  0.810000000000E+00|  0.100000000000E+01|  0.620000000000E+00|  0.766000000000E-01| -0.334180000000E+00| -0.420035300000E+00
  0.820000000000E+00|  0.100000000000E+01|  0.640000000000E+00|  0.114400000000E+00| -0.304640000000E+00| -0.426996800000E+00
  0.830000000000E+00|  0.100000000000E+01|  0.660000000000E+00|  0.153400000000E+00| -0.271260000000E+00| -0.428355300000E+00
  0.840000000000E+00|  0.100000000000E+01|  0.680000000000E+00|  0.193600000000E+00| -0.233920000000E+00| -0.423564800000E+00
  0.850000000000E+00|  0.100000000000E+01|  0.700000000000E+00|  0.235000000000E+00| -0.192500000000E+00| -0.412062500000E+00
  0.860000000000E+00|  0.100000000000E+01|  0.720000000000E+00|  0.277600000000E+00| -0.146880000000E+00| -0.393268800000E+00
  0.870000000000E+00|  0.100000000000E+01|  0.740000000000E+00|  0.321400000000E+00| -0.969400000000E-01| -0.366587300000E+00
  0.880000000000E+00|  0.100000000000E+01|  0.760000000000E+00|  0.366400000000E+00| -0.425600000000E-01| -0.331404800000E+00
  0.890000000000E+00|  0.100000000000E+01|  0.780000000000E+00|  0.412600000000E+00|  0.163800000000E-01| -0.287091300000E+00
  0.900000000000E+00|  0.100000000000E+01|  0.800000000000E+00|  0.460000000000E+00|  0.800000000000E-01| -0.233000000000E+00
  0.910000000000E+00|  0.100000000000E+01|  0.820000000000E+00|  0.508600000000E+00|  0.148420000000E+00| -0.168467300000E+00
  0.920000000000E+00|  0.100000000000E+01|  0.840000000000E+00|  0.558400000000E+00|  0.221760000000E+00| -0.928128000000E-01
  0.930000000000E+00|  0.100000000000E+01|  0.860000000000E+00|  0.609400000000E+00|  0.300140000000E+00| -0.533930000000E-02
  0.940000000000E+00|  0.100000000000E+01|  0.880000000000E+00|  0.661600000000E+00|  0.383680000000E+00|  0.946672000000E-01
  0.950000000000E+00|  0.100000000000E+01|  0.900000000000E+00|  0.715000000000E+00|  0.472500000000E+00|  0.207937500000E+00
  0.960000000000E+00|  0.100000000000E+01|  0.920000000000E+00|  0.769600000000E+00|  0.566720000000E+00|  0.335219200000E+00
  0.970000000000E+00|  0.100000000000E+01|  0.940000000000E+00|  0.825400000000E+00|  0.666460000000E+00|  0.477276700000E+00
  0.980000000000E+00|  0.100000000000E+01|  0.960000000000E+00|  0.882400000000E+00|  0.771840000000E+00|  0.634891200000E+00
  0.990000000000E+00|  0.100000000000E+01|  0.980000000000E+00|  0.940600000000E+00|  0.882980000000E+00|  0.808860700000E+00
  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01
