x|\hat{A}u-f, \alpha =  0.10E-08|\hat{A}u-f, \alpha =  0.10E-09|\hat{A}u-f, \alpha =  0.10E-10|\hat{A}u-f, \alpha =  0.10E-11|\hat{A}u-f, \alpha =  0.10E-12|\hat{A}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.876035355368E-16| -0.451028103754E-16| -0.607153216592E-17| -0.173472347598E-17|  0.867361737988E-18|  0.867361737988E-18
  0.500000000000E-01|  0.147451495458E-16|  0.607153216592E-17|  0.173472347598E-17| -0.867361737988E-18|  0.000000000000E+00| -0.867361737988E-18
  0.100000000000E+00| -0.806646416329E-16| -0.433680868994E-16| -0.693889390391E-17| -0.260208521397E-17| -0.173472347598E-17| -0.173472347598E-17
  0.150000000000E+00|  0.520417042793E-17|  0.173472347598E-17|  0.000000000000E+00| -0.867361737988E-18| -0.867361737988E-18| -0.867361737988E-18
  0.200000000000E+00|  0.693889390391E-16|  0.355618312575E-16|  0.346944695195E-17| -0.867361737988E-18| -0.867361737988E-18| -0.260208521397E-17
  0.250000000000E+00|  0.312250225676E-16|  0.173472347598E-16|  0.867361737988E-18| -0.173472347598E-17| -0.260208521397E-17| -0.260208521397E-17
  0.300000000000E+00| -0.390312782095E-16| -0.190819582357E-16| -0.433680868994E-17| -0.173472347598E-17|  0.000000000000E+00| -0.173472347598E-17
  0.350000000000E+00| -0.624500451352E-16| -0.329597460436E-16| -0.520417042793E-17| -0.867361737988E-18|  0.000000000000E+00| -0.867361737988E-18
  0.400000000000E+00| -0.268882138776E-16| -0.138777878078E-16| -0.173472347598E-17| -0.867361737988E-18| -0.867361737988E-18| -0.173472347598E-17
  0.450000000000E+00|  0.329597460436E-16|  0.190819582357E-16|  0.260208521397E-17|  0.867361737988E-18|  0.173472347598E-17|  0.867361737988E-18
  0.500000000000E+00|  0.572458747072E-16|  0.316587034366E-16|  0.520417042793E-17|  0.130104260698E-17|  0.130104260698E-17|  0.433680868994E-18
  0.550000000000E+00|  0.299239799606E-16|  0.164798730218E-16|  0.216840434497E-17| -0.433680868994E-18|  0.433680868994E-18| -0.433680868994E-18
  0.600000000000E+00| -0.229850860567E-16| -0.121430643318E-16| -0.173472347598E-17| -0.130104260698E-17| -0.433680868994E-18| -0.867361737988E-18
  0.650000000000E+00| -0.520417042793E-16| -0.281892564846E-16| -0.433680868994E-17| -0.130104260698E-17|  0.433680868994E-18| -0.433680868994E-18
  0.700000000000E+00| -0.281892564846E-16| -0.151788304148E-16| -0.260208521397E-17| -0.867361737988E-18|  0.433680868994E-18| -0.130104260698E-17
  0.750000000000E+00|  0.251534904017E-16|  0.138777878078E-16|  0.216840434497E-17|  0.433680868994E-18|  0.433680868994E-18| -0.433680868994E-18
  0.800000000000E+00|  0.464038529824E-16|  0.251534904017E-16|  0.260208521397E-17|  0.000000000000E+00| -0.867361737988E-18| -0.867361737988E-18
  0.850000000000E+00|  0.477048955894E-17|  0.303576608296E-17|  0.000000000000E+00|  0.000000000000E+00|  0.433680868994E-18|  0.000000000000E+00
  0.900000000000E+00| -0.442354486374E-16| -0.234187669257E-16| -0.260208521397E-17|  0.000000000000E+00|  0.000000000000E+00|  0.433680868994E-18
  0.950000000000E+00|  0.954097911787E-17|  0.563785129692E-17|  0.173472347598E-17|  0.000000000000E+00|  0.130104260698E-17|  0.000000000000E+00
  0.100000000000E+01| -0.442354486374E-16| -0.242861286637E-16| -0.477048955894E-17| -0.216840434497E-17| -0.130104260698E-17| -0.303576608296E-17
