c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384070966386E+00|  0.385613368734E+00|  0.386134944212E+00|  0.386202334844E+00|  0.386227622679E+00|  0.386273023346E+00
  0.312111009153E+00|  0.331795934039E+00|  0.338482099715E+00|  0.339362578279E+00|  0.339811386505E+00|  0.340692677835E+00
 -0.139998061728E+00| -0.759609740765E-01| -0.540913317197E-01| -0.510314540678E-01| -0.481956346048E-01| -0.420269381898E-01
  0.308454221416E-01| -0.770408676605E-02| -0.207700569254E-01| -0.216582186926E-01| -0.161673901851E-01| -0.257860425871E-02
 -0.462956725648E-02|  0.747012805049E-02|  0.115467065866E-01|  0.115838261555E-01|  0.803296575932E-02| -0.552349637748E-03
