x|\hat{A}u-f, \alpha =  0.10E-08|\hat{A}u-f, \alpha =  0.10E-09|\hat{A}u-f, \alpha =  0.10E-10|\hat{A}u-f, \alpha =  0.10E-11|\hat{A}u-f, \alpha =  0.10E-12|\hat{A}u-f, \alpha =  0.10E-13
  0.000000000000E+00|  0.267095512374E-10| -0.206817028781E-11| -0.414543399607E-12| -0.439639644134E-13| -0.412690714935E-14| -0.113624387676E-15
  0.500000000000E-01|  0.558687211077E-11| -0.384415589638E-12| -0.797842694689E-13| -0.848019571231E-14| -0.798840160687E-15| -0.234187669257E-16
  0.100000000000E+00| -0.881776682921E-11|  0.538767815084E-12|  0.116151879781E-12|  0.123763846394E-13|  0.116660153759E-14|  0.372965547335E-16
  0.150000000000E+00| -0.176662278556E-10|  0.957151892467E-12|  0.215133466597E-12|  0.229850860567E-13|  0.217360851540E-14|  0.771951946810E-16
  0.200000000000E+00| -0.220096571177E-10|  0.105503366460E-11|  0.248265817626E-12|  0.265950456102E-13|  0.251881848712E-14|  0.928077059648E-16
  0.250000000000E+00| -0.227937434552E-10|  0.963632819373E-12|  0.238565243948E-12|  0.256279372723E-13|  0.243121495158E-14|  0.910729824888E-16
  0.300000000000E+00| -0.208659279091E-10|  0.774712759222E-12|  0.202942697369E-12|  0.218635873295E-13|  0.207819872422E-14|  0.823993651089E-16
  0.350000000000E+00| -0.169834641142E-10|  0.550741743877E-12|  0.153705173589E-12|  0.166091099207E-13|  0.157946572488E-14|  0.650521303491E-16
  0.400000000000E+00| -0.118217042058E-10|  0.332457152086E-12|  0.996702720357E-13|  0.108029904466E-13|  0.102869102125E-14|  0.407660016855E-16
  0.450000000000E+00| -0.598213058950E-11|  0.144570987126E-12|  0.470335576042E-13|  0.511483216892E-14|  0.487457296749E-15|  0.199493199737E-16
  0.500000000000E+00| -0.867361737988E-18| -0.867361737988E-18| -0.173472347598E-17| -0.130104260698E-17| -0.130104260698E-17| -0.173472347598E-17
  0.550000000000E+00|  0.564860571511E-11| -0.969051228150E-13| -0.387194616647E-13| -0.424269994137E-14| -0.406792655117E-15| -0.203830008427E-16
  0.600000000000E+00|  0.105403272915E-10| -0.147956299990E-12| -0.675228102598E-13| -0.742678488153E-14| -0.713405029495E-15| -0.346944695195E-16
  0.650000000000E+00|  0.142986785606E-10| -0.159324810289E-12| -0.856467674559E-13| -0.945901343363E-14| -0.908127739674E-15| -0.442354486374E-16
  0.700000000000E+00|  0.165888032477E-10| -0.140177799923E-12| -0.929404123107E-13| -0.103098952986E-13| -0.990960785652E-15| -0.481385764584E-16
  0.750000000000E+00|  0.171127851473E-10| -0.101658265139E-12| -0.897008162193E-13| -0.999547666858E-14| -0.961470486560E-15| -0.472712147204E-16
  0.800000000000E+00|  0.156054657044E-10| -0.561291464696E-13| -0.765399028879E-13| -0.856996765219E-14| -0.825728374565E-15| -0.425007251614E-16
  0.850000000000E+00|  0.118307399467E-10| -0.166099772825E-13| -0.542951100746E-13| -0.611099712500E-14| -0.589372300963E-15| -0.294902990916E-16
  0.900000000000E+00|  0.557826007608E-11|  0.363120991609E-14| -0.239513270328E-13| -0.271007175034E-14| -0.260642202266E-15| -0.125767452008E-16
  0.950000000000E+00| -0.333946759135E-11| -0.861420310083E-14|  0.134133155971E-13|  0.152829138234E-14|  0.148318857196E-15|  0.867361737988E-17
  0.100000000000E+01| -0.150896660618E-10| -0.662902892301E-13|  0.566712475558E-13|  0.649220260884E-14|  0.627969898304E-15|  0.329597460436E-16
