c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384260978529E+00|  0.385606837377E+00|  0.386191484662E+00|  0.386270327111E+00|  0.386278487247E+00|  0.386279306144E+00
  0.314077092414E+00|  0.331877346994E+00|  0.339650996082E+00|  0.340699738277E+00|  0.340808286637E+00|  0.340819179867E+00
 -0.138931337579E+00| -0.739165558868E-01| -0.453695023816E-01| -0.415166244037E-01| -0.411178224786E-01| -0.410778010683E-01
