x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313893368617E-05| -0.820188098882E-06| -0.105885896391E-06| -0.174317819138E-07| -0.674821228064E-08| -0.188336223700E-08
  0.500000000000E-01| -0.165592567574E-05| -0.415031424138E-06| -0.511649810436E-07| -0.638637664974E-08| -0.151781155006E-08| -0.362584628988E-09
  0.100000000000E+00| -0.590879063803E-06| -0.127036105788E-06| -0.134526862081E-07|  0.195831663385E-09|  0.120450986685E-08|  0.407509158362E-09
  0.150000000000E+00|  0.150479083499E-06|  0.706927557603E-07|  0.115323889396E-07|  0.374933420422E-08|  0.231671035134E-08|  0.700340986592E-09
  0.200000000000E+00|  0.641575440954E-06|  0.199012607893E-06|  0.270238504005E-07|  0.529209731592E-08|  0.244081364842E-08|  0.704446972977E-09
  0.250000000000E+00|  0.939766794252E-06|  0.274145898836E-06|  0.354705146713E-07|  0.554371666628E-08|  0.200385871785E-08|  0.548566511660E-09
  0.300000000000E+00|  0.108996330044E-05|  0.308739585807E-06|  0.387305025065E-07|  0.500965883360E-08|  0.129509737656E-08|  0.319323983922E-09
  0.350000000000E+00|  0.112739314125E-05|  0.312670350631E-06|  0.382153685224E-07|  0.404159462841E-08|  0.506556969981E-09|  0.737355662639E-10
  0.400000000000E+00|  0.107972355891E-05|  0.293659963048E-06|  0.349977447855E-07|  0.288077503519E-08| -0.238113272155E-09| -0.151919803126E-09
  0.450000000000E+00|  0.968696384412E-06|  0.257747987800E-06|  0.298921597544E-07|  0.168931019173E-08| -0.863090911241E-09| -0.335799513196E-09
  0.500000000000E+00|  0.811395162822E-06|  0.209656655613E-06|  0.235160164466E-07|  0.572780933794E-09| -0.132572312156E-08| -0.466016267242E-09
  0.550000000000E+00|  0.621231170776E-06|  0.153073751660E-06|  0.163358045147E-07| -0.403392159953E-09| -0.160607806221E-08| -0.537455469019E-09
  0.600000000000E+00|  0.408713820677E-06|  0.908728507582E-07|  0.870226886385E-08| -0.120208724919E-08| -0.169950403056E-08| -0.549515852960E-09
  0.650000000000E+00|  0.182054865478E-06|  0.252854258156E-07|  0.877270586036E-09| -0.180589055862E-08| -0.161134900215E-08| -0.504513337357E-09
  0.700000000000E+00| -0.523560955944E-07| -0.419641828509E-07| -0.694562814554E-08| -0.221088288302E-08| -0.135323145051E-08| -0.406559338278E-09
  0.750000000000E+00| -0.289576204852E-06| -0.109552583841E-06| -0.146253413061E-07| -0.242215660376E-08| -0.940425057272E-09| -0.260778055400E-09
  0.800000000000E+00| -0.525812099927E-06| -0.176473556945E-06| -0.220610666714E-07| -0.245059668391E-08| -0.390045485493E-09| -0.727678299561E-10
  0.850000000000E+00| -0.758183942060E-06| -0.241971781407E-06| -0.291828702349E-07| -0.231058406783E-08|  0.280187574531E-09|  0.151763168005E-09
  0.900000000000E+00| -0.984537649153E-06| -0.305490290571E-06| -0.359444013755E-07| -0.201837139016E-08|  0.105277752488E-08|  0.407238010675E-09
  0.950000000000E+00| -0.120329518177E-05| -0.366628728852E-06| -0.423172510644E-07| -0.159095120758E-08|  0.191098310440E-08|  0.688362592621E-09
  0.100000000000E+01| -0.141333495699E-05| -0.425110131399E-06| -0.482865760085E-07| -0.104527943245E-08|  0.283914473181E-08|  0.990217123575E-09
