x|y, \alpha =  0.10E-08|y, \alpha =  0.10E-09|y, \alpha =  0.10E-10|y, \alpha =  0.10E-11|y, \alpha =  0.10E-12|y, \alpha =  0.10E-13
  0.000000000000E+00| -0.687474514644E-01| -0.201870655038E-01|  0.117098619862E-02|  0.405396443062E-02|  0.435237813115E-02|  0.438232520877E-02
  0.500000000000E-01|  0.225568898717E-02|  0.340668876233E-01|  0.480663939855E-01|  0.499561762133E-01|  0.501517862013E-01|  0.501714164999E-01
  0.100000000000E+00|  0.690908893113E-01|  0.861033440738E-01|  0.936007167010E-01|  0.946128892639E-01|  0.947176595971E-01|  0.947281737590E-01
  0.150000000000E+00|  0.131758149508E+00|  0.135922303848E+00|  0.137773954345E+00|  0.138024103582E+00|  0.138049998319E+00|  0.138052596986E+00
  0.200000000000E+00|  0.190257469577E+00|  0.183523766945E+00|  0.180586106918E+00|  0.180189819169E+00|  0.180148802366E+00|  0.180144686181E+00
  0.250000000000E+00|  0.244588849519E+00|  0.228907733366E+00|  0.222037174419E+00|  0.221110036023E+00|  0.221014071738E+00|  0.221004441344E+00
  0.300000000000E+00|  0.294752289334E+00|  0.272074203110E+00|  0.262127156848E+00|  0.260784754145E+00|  0.260645806437E+00|  0.260631862475E+00
  0.350000000000E+00|  0.340747789021E+00|  0.313023176177E+00|  0.300856054207E+00|  0.299213973535E+00|  0.299044006461E+00|  0.299026949574E+00
  0.400000000000E+00|  0.382575348581E+00|  0.351754652568E+00|  0.338223866493E+00|  0.336397694193E+00|  0.336208671810E+00|  0.336189702640E+00
  0.450000000000E+00|  0.420234968014E+00|  0.388268632282E+00|  0.374230593709E+00|  0.372335916119E+00|  0.372139802486E+00|  0.372120121675E+00
  0.500000000000E+00|  0.453726647319E+00|  0.422565115320E+00|  0.408876235853E+00|  0.407028639313E+00|  0.406837398487E+00|  0.406818206678E+00
  0.550000000000E+00|  0.483050386496E+00|  0.454644101681E+00|  0.442160792925E+00|  0.440475863774E+00|  0.440301459813E+00|  0.440283957649E+00
  0.600000000000E+00|  0.508206185547E+00|  0.484505591366E+00|  0.474084264926E+00|  0.472677589504E+00|  0.472531986465E+00|  0.472517374587E+00
  0.650000000000E+00|  0.529194044469E+00|  0.512149584373E+00|  0.504646651856E+00|  0.503633816501E+00|  0.503528978443E+00|  0.503518457494E+00
  0.700000000000E+00|  0.546013963265E+00|  0.537576080705E+00|  0.533847953714E+00|  0.533344544767E+00|  0.533292435747E+00|  0.533287206368E+00
  0.750000000000E+00|  0.558665941933E+00|  0.560785080359E+00|  0.561688170500E+00|  0.561809774300E+00|  0.561822358376E+00|  0.561823621211E+00
  0.800000000000E+00|  0.567149980474E+00|  0.581776583337E+00|  0.588167302215E+00|  0.589029505101E+00|  0.589118746330E+00|  0.589127702021E+00
  0.850000000000E+00|  0.571466078887E+00|  0.600550589639E+00|  0.613285348859E+00|  0.615003737170E+00|  0.615181599611E+00|  0.615199448799E+00
  0.900000000000E+00|  0.571614237173E+00|  0.617107099264E+00|  0.637042310432E+00|  0.639732470507E+00|  0.640010918217E+00|  0.640038861546E+00
  0.950000000000E+00|  0.567594455332E+00|  0.631446112212E+00|  0.659438186932E+00|  0.663215705111E+00|  0.663606702149E+00|  0.663645940260E+00
  0.100000000000E+01|  0.559406733363E+00|  0.643567628484E+00|  0.680472978362E+00|  0.685453440984E+00|  0.685968951406E+00|  0.686020684942E+00
