x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313794629514E-05| -0.822509574318E-06| -0.106204019162E-06| -0.173924760566E-07| -0.670709019573E-08| -0.188509509391E-08
  0.500000000000E-01| -0.165543521505E-05| -0.416197914931E-06| -0.513500365493E-07| -0.639391278812E-08| -0.151234427759E-08| -0.362201470205E-09
  0.100000000000E+00| -0.590745174535E-06| -0.127370894762E-06| -0.135271510729E-07|  0.170651590081E-09|  0.119330924309E-08|  0.408317234191E-09
  0.150000000000E+00|  0.150366293965E-06|  0.709356449344E-07|  0.115452806690E-07|  0.372337014692E-08|  0.230033226495E-08|  0.700847373192E-09
  0.200000000000E+00|  0.641301787813E-06|  0.199634197978E-06|  0.271018599993E-07|  0.527414889540E-08|  0.242578230419E-08|  0.704454786171E-09
  0.250000000000E+00|  0.939399029259E-06|  0.274991006959E-06|  0.355933363339E-07|  0.553741762860E-08|  0.199345405461E-08|  0.548144141188E-09
  0.300000000000E+00|  0.108955306005E-05|  0.309687896508E-06|  0.388801921561E-07|  0.501542867654E-08|  0.129052468711E-08|  0.318648302189E-09
  0.350000000000E+00|  0.112698006537E-05|  0.313629318849E-06|  0.383764619319E-07|  0.405794669395E-08|  0.507737872579E-09|  0.730028121287E-10
  0.400000000000E+00|  0.107933776131E-05|  0.294559161174E-06|  0.351571927126E-07|  0.290518457902E-08| -0.232009411683E-09| -0.152540972909E-09
  0.450000000000E+00|  0.968360414903E-06|  0.258534594490E-06|  0.300391615402E-07|  0.171878186683E-08| -0.853293991021E-09| -0.336189555361E-09
  0.500000000000E+00|  0.811125569107E-06|  0.210291849989E-06|  0.236418039035E-07|  0.604211583544E-09| -0.131363163403E-08| -0.466111073349E-09
  0.550000000000E+00|  0.621039744429E-06|  0.153529826838E-06|  0.164334079053E-07| -0.372989659991E-09| -0.159311196873E-08| -0.537244249088E-09
  0.600000000000E+00|  0.408608592611E-06|  0.911309005168E-07|  0.876628433386E-08| -0.117545377251E-08| -0.168701456971E-08| -0.549034689240E-09
  0.650000000000E+00|  0.182040902623E-06|  0.253334885812E-07|  0.903640089839E-09| -0.178545282378E-08| -0.160056691165E-08| -0.503836833365E-09
  0.700000000000E+00| -0.522760521746E-07| -0.421326139706E-07| -0.695981870746E-08| -0.219872634682E-08| -0.134524071743E-08| -0.405791927838E-09
  0.750000000000E+00| -0.289401228371E-06| -0.109939757777E-06| -0.146820432478E-07| -0.242002445860E-08| -0.936153481124E-09| -0.260045755762E-09
  0.800000000000E+00| -0.525542667631E-06| -0.177078425832E-06| -0.221614285638E-07| -0.245990494641E-08| -0.390265937622E-09| -0.722108761675E-10
  0.850000000000E+00| -0.757821606284E-06| -0.242790772265E-06| -0.293273776306E-07| -0.233244583717E-08|  0.274849382836E-09|  0.151996585457E-09
  0.900000000000E+00| -0.984084773649E-06| -0.306517924421E-06| -0.361329976252E-07| -0.205362585617E-08|  0.104183156546E-08|  0.406997022889E-09
  0.950000000000E+00| -0.120275473067E-05| -0.367858116732E-06| -0.425494409602E-07| -0.164019433452E-08|  0.189406166098E-08|  0.687497794805E-09
  0.100000000000E+01| -0.141271032615E-05| -0.426533370929E-06| -0.485615141432E-07| -0.110889444502E-08|  0.281598848406E-08|  0.988583867545E-09
