x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313794591920E-05| -0.822509008923E-06| -0.106203935049E-06| -0.173923571725E-07| -0.670520553664E-08| -0.187964679238E-08
  0.500000000000E-01| -0.165543502733E-05| -0.416197612291E-06| -0.513499670216E-07| -0.639387132823E-08| -0.151198647352E-08| -0.361202727450E-09
  0.100000000000E+00| -0.590745122479E-06| -0.127370791379E-06| -0.135271068652E-07|  0.170647496134E-09|  0.119288984940E-08|  0.407058983742E-09
  0.150000000000E+00|  0.150366251686E-06|  0.709356022047E-07|  0.115452961219E-07|  0.372334199583E-08|  0.229961603232E-08|  0.698737838423E-09
  0.200000000000E+00|  0.641301683646E-06|  0.199634053365E-06|  0.271018478146E-07|  0.527411089801E-08|  0.242506222742E-08|  0.702351191095E-09
  0.250000000000E+00|  0.939398888525E-06|  0.274990796925E-06|  0.355933003279E-07|  0.553737878467E-08|  0.199289402342E-08|  0.546525075196E-09
  0.300000000000E+00|  0.108955290247E-05|  0.309687650968E-06|  0.388801376303E-07|  0.501539434983E-08|  0.129020086975E-08|  0.317734762112E-09
  0.350000000000E+00|  0.112697990617E-05|  0.313629062110E-06|  0.383763948189E-07|  0.405791977798E-08|  0.507668129757E-09|  0.728443000364E-10
  0.400000000000E+00|  0.107933761212E-05|  0.294558912844E-06|  0.351571190979E-07|  0.290516624646E-08| -0.231844772547E-09| -0.152005526222E-09
  0.450000000000E+00|  0.968360284521E-06|  0.258534370211E-06|  0.300390872593E-07|  0.171877215238E-08| -0.852937616369E-09| -0.335088817804E-09
  0.500000000000E+00|  0.811125464045E-06|  0.210291662049E-06|  0.236417343480E-07|  0.604209807187E-09| -0.131313894480E-08| -0.464611384088E-09
  0.550000000000E+00|  0.621039669371E-06|  0.153529684771E-06|  0.164333479533E-07| -0.372984615415E-09| -0.159254416598E-08| -0.535529003087E-09
  0.600000000000E+00|  0.408608550821E-06|  0.911308115081E-07|  0.876623825960E-08| -0.117544329478E-08| -0.168643393694E-08| -0.547290313763E-09
  0.650000000000E+00|  0.182040896211E-06|  0.253334579182E-07|  0.903611570985E-09| -0.178543838047E-08| -0.160003369928E-08| -0.502243666795E-09
  0.700000000000E+00| -0.522760219869E-07| -0.421325826068E-07| -0.695982657964E-08| -0.219870940898E-08| -0.134481117908E-08| -0.404518443048E-09
  0.750000000000E+00| -0.289401161094E-06| -0.109939662006E-06| -0.146820279129E-07| -0.242000647646E-08| -0.935878787661E-09| -0.259245167000E-09
  0.800000000000E+00| -0.525542563311E-06| -0.177078264336E-06| -0.221613879713E-07| -0.245988725570E-08| -0.390191535332E-09| -0.720194563708E-10
  0.850000000000E+00| -0.757821465403E-06| -0.242790544620E-06| -0.293273101984E-07| -0.233242965220E-08|  0.274683862461E-09|  0.151460066711E-09
  0.900000000000E+00| -0.984084597019E-06| -0.306517630895E-06| -0.361329021564E-07| -0.205361228370E-08|  0.104139228144E-08|  0.405631046113E-09
  0.950000000000E+00| -0.120275451934E-05| -0.367857758150E-06| -0.425493166291E-07| -0.164018433904E-08|  0.189332030956E-08|  0.685217362018E-09
  0.100000000000E+01| -0.141271008135E-05| -0.426532948589E-06| -0.485613604363E-07| -0.110888887309E-08|  0.281492194137E-08|  0.985319489194E-09
