x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313794632750E-05| -0.822509662650E-06| -0.106204090113E-06| -0.173924160629E-07| -0.670608647779E-08| -0.188233151982E-08
  0.500000000000E-01| -0.165543523109E-05| -0.416197959416E-06| -0.513500774194E-07| -0.639393370194E-08| -0.151220073963E-08| -0.361749664946E-09
  0.100000000000E+00| -0.590745178962E-06| -0.127370907703E-06| -0.135271675250E-07|  0.170600727989E-09|  0.119303350532E-08|  0.407622782750E-09
  0.150000000000E+00|  0.150366297511E-06|  0.709356538370E-07|  0.115452832641E-07|  0.372331956239E-08|  0.229991457823E-08|  0.699744262533E-09
  0.200000000000E+00|  0.641301796542E-06|  0.199634221244E-06|  0.271018767636E-07|  0.527411490175E-08|  0.242538759215E-08|  0.703385537315E-09
  0.250000000000E+00|  0.939399040979E-06|  0.274991038683E-06|  0.355933628751E-07|  0.553740722720E-08|  0.199317081589E-08|  0.547349804370E-09
  0.300000000000E+00|  0.108955307309E-05|  0.309687932160E-06|  0.388802246440E-07|  0.501544290127E-08|  0.129039028074E-08|  0.318234640029E-09
  0.350000000000E+00|  0.112698007849E-05|  0.313629354959E-06|  0.383764970496E-07|  0.405798285252E-08|  0.507756260648E-09|  0.729868041005E-10
  0.400000000000E+00|  0.107933777355E-05|  0.294559195091E-06|  0.351572276777E-07|  0.290523778645E-08| -0.231855167010E-09| -0.152198587067E-09
  0.450000000000E+00|  0.968360425548E-06|  0.258534624237E-06|  0.300391940211E-07|  0.171884612793E-08| -0.853033241266E-09| -0.335561550768E-09
  0.500000000000E+00|  0.811125577642E-06|  0.210291874081E-06|  0.236418319574E-07|  0.604280514516E-09| -0.131330014919E-08| -0.465288051144E-09
  0.550000000000E+00|  0.621039750494E-06|  0.153529844241E-06|  0.164334299849E-07| -0.372922408232E-09| -0.159274795436E-08| -0.536324117062E-09
  0.600000000000E+00|  0.408608595969E-06|  0.911309105088E-07|  0.876629918309E-08| -0.117539420905E-08| -0.168665606481E-08| -0.548115521720E-09
  0.650000000000E+00|  0.182040903126E-06|  0.253334907149E-07|  0.903646747707E-09| -0.178540646156E-08| -0.160025004012E-08| -0.503012315828E-09
  0.700000000000E+00| -0.522760545962E-07| -0.421326199554E-07| -0.695982097648E-08| -0.219869805695E-08| -0.134499876861E-08| -0.405148664617E-09
  0.750000000000E+00| -0.289401233741E-06| -0.109939771977E-06| -0.146820549642E-07| -0.242001852238E-08| -0.936016247149E-09| -0.259661642882E-09
  0.800000000000E+00| -0.525542675923E-06| -0.177078448207E-06| -0.221614500778E-07| -0.245992497899E-08| -0.390259553840E-09| -0.721544733684E-10
  0.850000000000E+00| -0.757821617441E-06| -0.242790802706E-06| -0.293274091713E-07| -0.233249485351E-08|  0.274702489922E-09|  0.151666210840E-09
  0.900000000000E+00| -0.984084787596E-06| -0.306517962730E-06| -0.361330392759E-07| -0.205370630224E-08|  0.104151253247E-08|  0.406230001027E-09
  0.950000000000E+00| -0.120275474730E-05| -0.367858162646E-06| -0.425494927139E-07| -0.164030813238E-08|  0.189355499336E-08|  0.686252974585E-09
  0.100000000000E+01| -0.141271034535E-05| -0.426533424178E-06| -0.485615758994E-07| -0.110904304837E-08|  0.281528182711E-08|  0.986828202487E-09
