x|\hat{A}u-f, \alpha =  0.10E-08|\hat{A}u-f, \alpha =  0.10E-09|\hat{A}u-f, \alpha =  0.10E-10|\hat{A}u-f, \alpha =  0.10E-11|\hat{A}u-f, \alpha =  0.10E-12|\hat{A}u-f, \alpha =  0.10E-13
  0.000000000000E+00|  0.222832169383E-12| -0.214354575756E-12| -0.293272350849E-13| -0.285708956493E-14| -0.154390389362E-15|  0.190819582357E-16
  0.500000000000E-01| -0.144813848413E-12|  0.126963543845E-12|  0.174183584223E-13|  0.170349845341E-14|  0.971445146547E-16| -0.693889390391E-17
  0.100000000000E+00| -0.233048823295E-12|  0.188132495693E-12|  0.258734006442E-13|  0.253182891319E-14|  0.144849410244E-15| -0.130104260698E-16
  0.150000000000E+00| -0.159023835766E-12|  0.119210197269E-12|  0.164347702114E-13|  0.160982338571E-14|  0.945424294407E-16| -0.867361737988E-17
  0.200000000000E+00| -0.181443401970E-13|  0.127189925259E-13|  0.175640751943E-14|  0.171737624122E-15|  0.104083408559E-16| -0.867361737988E-18
  0.250000000000E+00|  0.120291797356E-12| -0.793419149825E-13| -0.109903405821E-13| -0.107986536380E-14| -0.650521303491E-16|  0.260208521397E-17
  0.300000000000E+00|  0.213147208217E-12| -0.132952676646E-12| -0.184557230609E-13| -0.181278603240E-14| -0.107552855511E-15|  0.607153216592E-17
  0.350000000000E+00|  0.240853344213E-12| -0.142713098283E-12| -0.198530428208E-13| -0.195329863395E-14| -0.117093834628E-15|  0.520417042793E-17
  0.400000000000E+00|  0.203315662917E-12| -0.114889001090E-12| -0.160167018537E-13| -0.157773100140E-14| -0.971445146547E-16|  0.260208521397E-17
  0.450000000000E+00|  0.115052932459E-12| -0.622149901042E-13| -0.869096461464E-14| -0.856953397133E-15| -0.537764277553E-16|  0.867361737988E-18
  0.500000000000E+00| -0.867361737988E-18| -0.130104260698E-17| -0.867361737988E-18| -0.867361737988E-18| -0.173472347598E-17| -0.216840434497E-17
  0.550000000000E+00| -0.113666021040E-12|  0.567840045818E-13|  0.795891130778E-14|  0.784095011142E-15|  0.468375338514E-16| -0.433680868994E-17
  0.600000000000E+00| -0.198525657719E-12|  0.956955868714E-13|  0.134384690875E-13|  0.132446137391E-14|  0.806646416329E-16| -0.563785129692E-17
  0.650000000000E+00| -0.232645933768E-12|  0.108443202335E-12|  0.152564592903E-13|  0.150487261541E-14|  0.932413868338E-16| -0.520417042793E-17
  0.700000000000E+00| -0.203951872751E-12|  0.921155512978E-13|  0.129818031325E-13|  0.128152696788E-14|  0.797972798949E-16| -0.433680868994E-17
  0.750000000000E+00| -0.114243683957E-12|  0.500888393262E-13|  0.706943184547E-14|  0.698226199081E-15|  0.442354486374E-16| -0.260208521397E-17
  0.800000000000E+00|  0.171490426026E-13| -0.731099208950E-14| -0.103432887255E-14| -0.102348685083E-15| -0.607153216592E-17| -0.867361737988E-18
  0.850000000000E+00|  0.150075264715E-12| -0.623021599588E-13| -0.882193623708E-14| -0.872132227547E-15| -0.546437894933E-16|  0.173472347598E-17
  0.900000000000E+00|  0.220580931992E-12| -0.892983603729E-13| -0.126634813746E-13| -0.125203666879E-14| -0.784962372880E-16|  0.390312782095E-17
  0.950000000000E+00|  0.138253557908E-12| -0.546494273446E-13| -0.776071915065E-14| -0.766314095513E-15| -0.477048955894E-16|  0.260208521397E-17
  0.100000000000E+01| -0.216158688171E-12|  0.835338742622E-13|  0.118806874061E-13|  0.117657619758E-14|  0.758941520740E-16| -0.260208521397E-17
