      0.307532419961173E-01     -0.987992518020485E+00
      0.703660474881081E-01     -0.937273392400706E+00
      0.107159220467172E+00     -0.848206583410427E+00
      0.139570677926154E+00     -0.724417731360170E+00
      0.166269205816994E+00     -0.570972172608539E+00
      0.186161000015562E+00     -0.394151347077563E+00
      0.198431485327112E+00     -0.201194093997435E+00
      0.202578241925561E+00      0.000000000000000E+00
      0.198431485327112E+00      0.201194093997435E+00
      0.186161000015562E+00      0.394151347077563E+00
      0.166269205816994E+00      0.570972172608539E+00
      0.139570677926154E+00      0.724417731360170E+00
      0.107159220467172E+00      0.848206583410427E+00
      0.703660474881081E-01      0.937273392400706E+00
      0.307532419961173E-01      0.987992518020485E+00
