x|y, \alpha =  0.10E-08|y, \alpha =  0.10E-09|y, \alpha =  0.10E-10|y, \alpha =  0.10E-11|y, \alpha =  0.10E-12|y, \alpha =  0.10E-13
  0.000000000000E+00| -0.103824897938E+00| -0.391401953902E-02|  0.302133722638E-01|  0.333122437813E-01|  0.248605696645E-01|  0.322962733198E-02
  0.500000000000E-01| -0.123700391033E-01|  0.373613212412E-01|  0.543963568625E-01|  0.563091178937E-01|  0.548967508967E-01|  0.510001260043E-01
  0.100000000000E+00|  0.687887033218E-01|  0.826567142225E-01|  0.874556765141E-01|  0.883313277390E-01|  0.905135879909E-01|  0.957214412359E-01
  0.150000000000E+00|  0.140667431327E+00|  0.129912538372E+00|  0.126293851254E+00|  0.126303603578E+00|  0.129788897425E+00|  0.138373152290E+00
  0.200000000000E+00|  0.204195201043E+00|  0.177555205818E+00|  0.168491935925E+00|  0.167816313197E+00|  0.171184004228E+00|  0.179600061119E+00
  0.250000000000E+00|  0.260219261782E+00|  0.224418189627E+00|  0.212202355033E+00|  0.211021140379E+00|  0.213488264022E+00|  0.219782807573E+00
  0.300000000000E+00|  0.309510186101E+00|  0.269670085397E+00|  0.256051157403E+00|  0.254535888055E+00|  0.255768138171E+00|  0.259101080162E+00
  0.350000000000E+00|  0.352766890874E+00|  0.312749706668E+00|  0.299049690639E+00|  0.297358406111E+00|  0.297320822014E+00|  0.297589422377E+00
  0.400000000000E+00|  0.390621549385E+00|  0.353308214152E+00|  0.340515695372E+00|  0.338789643881E+00|  0.337632426204E+00|  0.335185634563E+00
  0.450000000000E+00|  0.423644394434E+00|  0.391158278775E+00|  0.380003819310E+00|  0.378365827301E+00|  0.376340711132E+00|  0.371771771351E+00
  0.500000000000E+00|  0.452348412464E+00|  0.426230278539E+00|  0.417245551089E+00|  0.415799760732E+00|  0.413202374458E+00|  0.407207734644E+00
  0.550000000000E+00|  0.477193928702E+00|  0.458535529202E+00|  0.452098573921E+00|  0.450931253465E+00|  0.448064891728E+00|  0.441357462154E+00
  0.600000000000E+00|  0.498593083311E+00|  0.488136548771E+00|  0.484505539030E+00|  0.483686670881E+00|  0.480842910092E+00|  0.474107711505E+00
  0.650000000000E+00|  0.516914198568E+00|  0.515124355816E+00|  0.514462258906E+00|  0.514047610293E+00|  0.511499195119E+00|  0.505379439884E+00
  0.700000000000E+00|  0.532486037051E+00|  0.539602801600E+00|  0.541995320335E+00|  0.542028701455E+00|  0.540030130700E+00|  0.535131779245E+00
  0.750000000000E+00|  0.545601950846E+00|  0.561679936022E+00|  0.567149117243E+00|  0.567664531740E+00|  0.566455772058E+00|  0.563358607079E+00
  0.800000000000E+00|  0.556523921766E+00|  0.581466407383E+00|  0.589982303330E+00|  0.591005695988E+00|  0.590814451841E+00|  0.590077712728E+00
  0.850000000000E+00|  0.565486492592E+00|  0.599080895963E+00|  0.610573664503E+00|  0.612123971029E+00|  0.613161939324E+00|  0.615312559263E+00
  0.900000000000E+00|  0.572700589326E+00|  0.614662581422E+00|  0.629037411110E+00|  0.631126614871E+00|  0.633575152696E+00|  0.639066640914E+00
  0.950000000000E+00|  0.578357234462E+00|  0.628390644010E+00|  0.645547889971E+00|  0.648179790561E+00|  0.652160424446E+00|  0.661290436054E+00
  0.100000000000E+01|  0.582631151273E+00|  0.640510799598E+00|  0.660373716200E+00|  0.663541114720E+00|  0.669066319848E+00|  0.681840955742E+00
