x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313794621591E-05| -0.822509457557E-06| -0.106203996764E-06| -0.173926709285E-07| -0.670853074480E-08| -0.188834684001E-08
  0.500000000000E-01| -0.165543517548E-05| -0.416197854958E-06| -0.513500151775E-07| -0.639393904489E-08| -0.151258983810E-08| -0.362748317495E-09
  0.100000000000E+00| -0.590745163363E-06| -0.127370876291E-06| -0.135271360086E-07|  0.170707205316E-09|  0.119365833884E-08|  0.409103778631E-09
  0.150000000000E+00|  0.150366285499E-06|  0.709356340889E-07|  0.115452872124E-07|  0.372345300426E-08|  0.230089632069E-08|  0.702107733064E-09
  0.200000000000E+00|  0.641301766559E-06|  0.199634167516E-06|  0.271018577233E-07|  0.527422655550E-08|  0.242633355074E-08|  0.705678737667E-09
  0.250000000000E+00|  0.939399000491E-06|  0.274990964534E-06|  0.355933260920E-07|  0.553747268178E-08|  0.199386816779E-08|  0.549057174726E-09
  0.300000000000E+00|  0.108955302786E-05|  0.309687848171E-06|  0.388801754889E-07|  0.501545383003E-08|  0.129074675254E-08|  0.319132290039E-09
  0.350000000000E+00|  0.112698003289E-05|  0.313629269347E-06|  0.383764407058E-07|  0.405794127467E-08|  0.507758418644E-09|  0.730409066563E-10
  0.400000000000E+00|  0.107933773090E-05|  0.294559114197E-06|  0.351571689330E-07|  0.290515207030E-08| -0.232171094849E-09| -0.152902634998E-09
  0.450000000000E+00|  0.968360388341E-06|  0.258534552849E-06|  0.300391371708E-07|  0.171872816673E-08| -0.853601501982E-09| -0.336868144490E-09
  0.500000000000E+00|  0.811125547694E-06|  0.210291815822E-06|  0.236417807692E-07|  0.604143929328E-09| -0.131403946751E-08| -0.467004886151E-09
  0.550000000000E+00|  0.621039729080E-06|  0.153529801733E-06|  0.164333876923E-07| -0.373063580028E-09| -0.159357090024E-08| -0.538244761261E-09
  0.600000000000E+00|  0.408608583968E-06|  0.911308855912E-07|  0.876626852012E-08| -0.117552629783E-08| -0.168747528104E-08| -0.550034288949E-09
  0.650000000000E+00|  0.182040901076E-06|  0.253334846122E-07|  0.903629965993E-09| -0.178551666161E-08| -0.160098228424E-08| -0.504733730505E-09
  0.700000000000E+00| -0.522760464014E-07| -0.421326065078E-07| -0.695982204854E-08| -0.219877478377E-08| -0.134556723402E-08| -0.406493085719E-09
  0.750000000000E+00| -0.289401215207E-06| -0.109939738622E-06| -0.146820389145E-07| -0.242005147519E-08| -0.936352013287E-09| -0.260468351748E-09
  0.800000000000E+00| -0.525542647112E-06| -0.177078394920E-06| -0.221614158136E-07| -0.245990524825E-08| -0.390302078851E-09| -0.722829122946E-10
  0.850000000000E+00| -0.757821578528E-06| -0.242790729667E-06| -0.293273559049E-07| -0.233241488970E-08|  0.275005265088E-09|  0.152336365744E-09
  0.900000000000E+00| -0.984084738840E-06| -0.306517870325E-06| -0.361329664939E-07| -0.205355983260E-08|  0.104220444080E-08|  0.407799516378E-09
  0.950000000000E+00| -0.120275468904E-05| -0.367858051405E-06| -0.425494001144E-07| -0.164009008111E-08|  0.189467211711E-08|  0.688804246279E-09
  0.100000000000E+01| -0.141271027795E-05| -0.426533294715E-06| -0.485614633956E-07| -0.110874945336E-08|  0.281685305289E-08|  0.990426695519E-09
