x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313794630478E-05| -0.822509619365E-06| -0.106204051990E-06| -0.173923979316E-07| -0.670606522396E-08| -0.188145028029E-08
  0.500000000000E-01| -0.165543521990E-05| -0.416197937801E-06| -0.513500562210E-07| -0.639390550228E-08| -0.151217605104E-08| -0.361568573692E-09
  0.100000000000E+00| -0.590745175957E-06| -0.127370901618E-06| -0.135271596285E-07|  0.170625361062E-09|  0.119305096358E-08|  0.407436480387E-09
  0.150000000000E+00|  0.150366294902E-06|  0.709356492365E-07|  0.115452810784E-07|  0.372333378018E-08|  0.229992084405E-08|  0.699409447025E-09
  0.200000000000E+00|  0.641301790304E-06|  0.199634209663E-06|  0.271018672851E-07|  0.527411622708E-08|  0.242538251982E-08|  0.703039661210E-09
  0.250000000000E+00|  0.939399032639E-06|  0.274991023029E-06|  0.355933485463E-07|  0.553739592374E-08|  0.199315625810E-08|  0.547072713519E-09
  0.300000000000E+00|  0.108955306386E-05|  0.309687914653E-06|  0.388802075188E-07|  0.501542080783E-08|  0.129036893670E-08|  0.318065858373E-09
  0.350000000000E+00|  0.112698006923E-05|  0.313629337313E-06|  0.383764788489E-07|  0.405795268915E-08|  0.507731058585E-09|  0.729382457210E-10
  0.400000000000E+00|  0.107933776494E-05|  0.294559178569E-06|  0.351572098239E-07|  0.290520264096E-08| -0.231881486235E-09| -0.152133410036E-09
  0.450000000000E+00|  0.968360418081E-06|  0.258534609818E-06|  0.300391776939E-07|  0.171880913669E-08| -0.853058297612E-09| -0.335400880680E-09
  0.500000000000E+00|  0.811125571674E-06|  0.210291862465E-06|  0.236418180796E-07|  0.604244682068E-09| -0.131332196507E-08| -0.465057173327E-09
  0.550000000000E+00|  0.621039746289E-06|  0.153529835928E-06|  0.164334192920E-07| -0.372954320205E-09| -0.159276504486E-08| -0.536051925071E-09
  0.600000000000E+00|  0.408608593686E-06|  0.911309058216E-07|  0.876629225460E-08| -0.117541975458E-08| -0.168666735093E-08| -0.547832178927E-09
  0.650000000000E+00|  0.182040902876E-06|  0.253334898684E-07|  0.903644013783E-09| -0.178542348614E-08| -0.160025485224E-08| -0.502747676823E-09
  0.700000000000E+00| -0.522760527782E-07| -0.421326168502E-07| -0.695981919666E-08| -0.219870478421E-08| -0.134499670082E-08| -0.404931130293E-09
  0.750000000000E+00| -0.289401229835E-06| -0.109939764879E-06| -0.146820484728E-07| -0.242001345699E-08| -0.936007230057E-09| -0.259517570628E-09
  0.800000000000E+00| -0.525542669959E-06| -0.177078437146E-06| -0.221614387431E-07| -0.245990693440E-08| -0.390243712345E-09| -0.721077260402E-10
  0.850000000000E+00| -0.757821609448E-06| -0.242790787749E-06| -0.293273929204E-07| -0.233246291378E-08|  0.274724847038E-09|  0.151594414105E-09
  0.900000000000E+00| -0.984084777642E-06| -0.306517943985E-06| -0.361330181123E-07| -0.205365978390E-08|  0.104154097846E-08|  0.406021154198E-09
  0.950000000000E+00| -0.120275473545E-05| -0.367858140234E-06| -0.425494666723E-07| -0.164024656704E-08|  0.189358900435E-08|  0.685891211882E-09
  0.100000000000E+01| -0.141271033170E-05| -0.426533398247E-06| -0.485615450629E-07| -0.110896614114E-08|  0.281532078900E-08|  0.986300194294E-09
